year,continent,ccode,name,electricandheat,manufacturingandconstructing,transportation,fuelcombustion,fugitive,totalCO2
1992,Africa,DZA,Algeria,24.06,8.39,16.63,7.72,8.19,64.99
1992,Africa,AGO,Angola,0.40,1.79,1.17,0.61,2.33,6.30
1992,Africa,BEN,Benin,0.03,0.02,0.12,0.04,0.00,0.21
1992,Africa,BWA,Botswana,1.61,0.68,0.81,0.15,0.00,3.25
1992,Africa,BFA,Burkina Faso,,,,,0.00,0.00
1992,Africa,BDI,Burundi,,,,,0.00,0.00
1992,Africa,CMR,Cameroon,0.03,0.19,1.55,0.53,0.00,2.30
1992,Africa,CPV,Cape Verde,,,,,0.00,0.00
1992,Africa,CAF,Central African Republic,,,,,0.00,0.00
1992,Africa,TCD,Chad,,,,,0.00,0.00
1992,Africa,COM,Comoros,,,,,0.00,0.00
1992,Africa,COG,"Congo, Dem. Rep.",0.05,0.01,0.44,0.91,0.00,1.41
1992,Africa,COD,"Congo, Rep.",0.01,0.08,0.43,0.08,2.37,2.97
1992,Africa,CIV,Cote d'Ivoire,0.70,0.44,1.12,0.53,0.00,2.79
1992,Africa,DJI,Djibouti,,,,,0.00,0.00
1992,Africa,EGY,Egypt,27.47,28.21,17.39,9.00,4.12,86.19
1992,Africa,ERI,Eritrea,0.27,0.02,0.11,0.02,,0.42
1992,Africa,ETH,Ethiopia,0.07,0.33,0.72,0.34,0.00,1.46
1992,Africa,GAB,Gabon,0.30,0.27,0.36,0.16,3.44,4.53
1992,Africa,GMB,"Gambia, The",,,,,0.00,0.00
1992,Africa,GHA,Ghana,0.09,0.52,1.77,0.47,0.00,2.85
1992,Africa,KEN,Kenya,0.47,1.53,2.53,0.84,0.00,5.37
1992,Africa,KIR,Kiribati,,,,,0.00,0.00
1992,Africa,LSO,Lesotho,,,,,0.00,0.00
1992,Africa,LBR,Liberia,,,,,0.00,0.00
1992,Africa,LBY,Libya,15.27,4.37,6.26,1.48,3.93,31.31
1992,Africa,MDG,Madagascar,,,,,0.00,0.00
1992,Africa,MLI,Mali,,,,,0.00,0.00
1992,Africa,MRT,Mauritania,,,,,0.00,0.00
1992,Africa,MUS,Mauritius,0.49,0.20,0.50,0.12,0.00,1.31
1992,Africa,MAR,Morocco,8.35,5.77,4.74,3.26,0.00,22.12
1992,Africa,MOZ,Mozambique,0.09,0.15,0.68,0.16,0.00,1.08
1992,Africa,NAM,Namibia,0.03,0.01,0.50,0.67,0.00,1.21
1992,Africa,NER,Niger,,,,,0.00,0.00
1992,Africa,NGA,Nigeria,11.49,5.62,18.52,5.02,45.33,85.98
1992,Africa,RWA,Rwanda,,,,,0.00,0.00
1992,Africa,STP,Sao Tome & Principe,,,,,0.00,0.00
1992,Africa,SEN,Senegal,0.94,0.28,0.78,0.31,0.00,2.31
1992,Africa,SYC,Seychelles,,,,,0.00,0.00
